price,availability_365,room_type,review_scores_rating,neighbourhood_group_cleansed,cluster
191.0,278,Entire home/apt,4.84,Central Region,3
45.0,361,Private room,5.0,Central Region,0
90.0,363,Entire home/apt,4.89,Central Region,3
69.0,361,Private room,5.0,Central Region,0
49.0,361,Private room,4.0,Central Region,0
58.0,364,Private room,4.69,East Region,0
80.0,364,Private room,4.77,Central Region,0
100.0,180,Private room,5.0,West Region,0
100.0,364,Private room,4.92,West Region,0
48.0,361,Private room,5.0,Central Region,0
213.0,336,Entire home/apt,4.57,Central Region,3
213.0,290,Entire home/apt,4.75,Central Region,3
98.0,364,Private room,4.8,Central Region,0
1219.0,344,Entire home/apt,5.0,Central Region,3
45.0,154,Private room,4.75,East Region,0
328.0,365,Hotel room,4.73,Central Region,3
296.0,365,Hotel room,4.57,Central Region,3
185.0,363,Entire home/apt,5.0,North-East Region,1
49.0,361,Private room,5.0,Central Region,0
40.0,145,Private room,4.45,North-East Region,1
141.0,245,Entire home/apt,5.0,Central Region,3
43.0,363,Private room,5.0,Central Region,0
195.0,241,Entire home/apt,5.0,Central Region,3
66.0,363,Private room,3.75,Central Region,0
50.0,0,Private room,4.75,Central Region,0
59.0,361,Private room,4.75,Central Region,0
193.0,359,Hotel room,4.55,Central Region,3
1061.0,364,Entire home/apt,5.0,Central Region,3
198.0,326,Private room,1.0,Central Region,0
526.0,349,Entire home/apt,4.5,Central Region,3
600.0,160,Entire home/apt,4.9,Central Region,3
59.0,361,Private room,5.0,Central Region,0
69.0,361,Private room,5.0,Central Region,0
126.0,361,Entire home/apt,5.0,Central Region,3
59.0,361,Private room,3.5,Central Region,0
60.0,361,Private room,5.0,Central Region,0
49.0,361,Private room,5.0,Central Region,0
59.0,361,Private room,4.0,Central Region,0
59.0,361,Private room,4.5,Central Region,0
59.0,361,Private room,5.0,Central Region,0
114.0,361,Entire home/apt,4.83,Central Region,3
59.0,361,Private room,5.0,Central Region,0
1138.0,364,Entire home/apt,5.0,Central Region,3
56.0,361,Private room,5.0,Central Region,0
204.0,0,Entire home/apt,5.0,Central Region,3
1219.0,364,Entire home/apt,5.0,Central Region,3
59.0,361,Private room,5.0,Central Region,0
59.0,361,Private room,3.0,Central Region,0
59.0,361,Private room,5.0,Central Region,0
49.0,361,Private room,3.0,Central Region,0
140.0,241,Entire home/apt,4.74,Central Region,3
66.0,364,Private room,4.88,West Region,0
78.0,90,Private room,4.76,North-East Region,1
135.0,104,Entire home/apt,4.67,Central Region,3
320.0,364,Entire home/apt,4.33,Central Region,3
125.0,210,Entire home/apt,4.84,Central Region,3
59.0,361,Private room,3.5,Central Region,0
160.0,365,Private room,5.0,East Region,0
79.0,361,Private room,5.0,Central Region,0
49.0,361,Private room,4.0,Central Region,0
377.0,359,Entire home/apt,4.65,Central Region,3
290.0,12,Hotel room,4.43,Central Region,3
59.0,361,Private room,4.4,Central Region,0
474.0,364,Entire home/apt,4.0,Central Region,3
189.0,7,Hotel room,4.51,Central Region,3
178.0,20,Hotel room,4.29,Central Region,3
163.0,11,Hotel room,4.37,Central Region,3
144.0,12,Hotel room,4.48,Central Region,3
43.0,330,Private room,4.0,Central Region,0
78.0,365,Private room,4.64,Central Region,0
49.0,330,Private room,4.0,Central Region,0
88.0,364,Private room,4.92,Central Region,0
42.0,90,Private room,4.84,North-East Region,1
150.0,113,Entire home/apt,4.78,Central Region,3
136.0,365,Private room,5.0,Central Region,0
285.0,365,Entire home/apt,4.5,Central Region,3
116.0,359,Entire home/apt,4.85,Central Region,3
59.0,363,Private room,5.0,Central Region,0
44.0,363,Private room,4.0,Central Region,0
215.0,90,Entire home/apt,4.2,Central Region,3
190.0,365,Entire home/apt,4.86,Central Region,3
49.0,330,Private room,5.0,Central Region,0
63.0,365,Private room,5.0,North-East Region,1
49.0,330,Private room,5.0,Central Region,0
49.0,361,Private room,5.0,Central Region,0
130.0,180,Entire home/apt,4.85,Central Region,3
49.0,361,Private room,1.0,Central Region,0
400.0,364,Entire home/apt,5.0,Central Region,3
350.0,364,Entire home/apt,4.5,Central Region,3
258.0,365,Entire home/apt,4.57,Central Region,3
405.0,364,Entire home/apt,5.0,West Region,3
388.0,364,Entire home/apt,4.67,Central Region,3
451.0,364,Entire home/apt,4.67,Central Region,3
80.0,263,Private room,4.33,West Region,0
721.0,364,Entire home/apt,5.0,Central Region,3
220.0,364,Entire home/apt,5.0,North Region,2
805.0,364,Entire home/apt,5.0,Central Region,3
600.0,364,Entire home/apt,5.0,Central Region,3
116.0,365,Private room,5.0,Central Region,0
878.0,364,Entire home/apt,5.0,Central Region,3
60.0,282,Private room,4.58,Central Region,0
79.0,267,Private room,5.0,West Region,0
620.0,364,Entire home/apt,5.0,Central Region,3
65.0,179,Private room,4.62,Central Region,0
65.0,254,Private room,4.75,Central Region,0
410.0,364,Entire home/apt,5.0,Central Region,3
80.0,365,Private room,5.0,Central Region,0
49.0,361,Private room,3.0,Central Region,0
120.0,180,Private room,5.0,North-East Region,1
115.0,248,Private room,4.93,Central Region,0
88.0,180,Entire home/apt,5.0,Central Region,3
355.0,364,Entire home/apt,5.0,North Region,2
60.0,238,Private room,5.0,North-East Region,1
66.0,311,Private room,4.4,Central Region,0
1000.0,364,Entire home/apt,5.0,Central Region,3
59.0,361,Private room,2.0,Central Region,0
59.0,361,Private room,3.0,Central Region,0
59.0,361,Private room,5.0,Central Region,0
1000.0,365,Entire home/apt,5.0,Central Region,3
975.0,358,Entire home/apt,5.0,Central Region,3
916.0,364,Entire home/apt,5.0,Central Region,3
528.0,364,Entire home/apt,5.0,West Region,3
490.0,364,Entire home/apt,5.0,West Region,3
49.0,361,Private room,5.0,Central Region,0
1187.0,364,Entire home/apt,5.0,Central Region,3
1187.0,364,Entire home/apt,4.5,Central Region,3
1061.0,364,Entire home/apt,4.0,Central Region,3
49.0,361,Private room,5.0,Central Region,0
70.0,365,Private room,5.0,East Region,0
90.0,180,Private room,5.0,Central Region,0
211.0,357,Private room,4.7,Central Region,0
49.0,330,Private room,5.0,Central Region,0
220.0,0,Entire home/apt,4.83,Central Region,3
49.0,361,Private room,5.0,Central Region,0
171.0,184,Private room,4.8,Central Region,0
180.0,365,Private room,5.0,North-East Region,1
165.0,35,Private room,4.74,Central Region,0
43.0,247,Private room,4.0,East Region,0
59.0,361,Private room,3.0,Central Region,0
69.0,361,Private room,5.0,Central Region,0
100.0,364,Private room,5.0,Central Region,0
49.0,361,Private room,3.0,Central Region,0
174.0,53,Hotel room,4.44,Central Region,3
191.0,46,Hotel room,4.46,Central Region,3
175.0,62,Hotel room,4.23,Central Region,3
272.0,365,Entire home/apt,5.0,Central Region,3
116.0,365,Private room,4.67,Central Region,0
235.0,84,Hotel room,4.44,Central Region,3
198.0,74,Private room,3.93,Central Region,0
198.0,74,Hotel room,4.47,Central Region,3
469.0,69,Hotel room,4.64,Central Region,3
49.0,361,Private room,5.0,Central Region,0
786.0,263,Entire home/apt,4.0,Central Region,3
65.0,184,Private room,4.5,West Region,0
